,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,isabela,78,PH,1578386550,77,10.2,122.99,75.85,8.99
1,rikitea,0,PF,1578386550,80,-23.12,-134.97,76.6,15.7
2,qaanaaq,23,GL,1578386550,83,77.48,-69.36,-22.16,1.9
3,tuktoyaktuk,24,CA,1578386551,98,69.44,-133.03,-22.95,9.37
4,mahebourg,40,MU,1578386551,79,-20.41,57.7,86.0,5.82
5,bluff,100,AU,1578386551,50,-23.58,149.07,82.8,17.13
6,kushima,75,JP,1578386551,68,31.5,131.29,66.2,8.05
7,punta arenas,75,PH,1578386552,62,14.18,121.12,86.0,10.29
8,sydney,73,AU,1578386257,74,-33.85,151.22,82.99,20.8
9,hilo,1,US,1578386552,73,19.71,-155.08,75.0,6.93
10,lebu,37,ET,1578386552,41,8.96,38.73,71.33,7.43
11,miles city,100,AU,1578386552,26,-26.66,150.19,86.45,4.63
12,dingle,93,PH,1578386553,89,11.0,122.67,77.59,8.46
13,lovozero,66,RU,1578386553,92,68.01,35.02,16.27,7.52
14,baymak,92,RU,1578386553,95,52.6,58.31,20.5,1.12
15,birao,0,CF,1578386553,15,10.3,22.78,83.79,14.97
16,ostrovnoy,16,RU,1578386553,93,68.05,39.51,12.85,11.77
17,kapaa,90,US,1578386554,88,22.08,-159.32,75.2,18.34
18,hami,0,CN,1578386554,41,42.84,93.51,26.38,3.96
19,mogzon,64,RU,1578386554,96,51.74,111.97,1.09,3.47
20,airai,88,TL,1578386554,68,-8.93,125.41,76.5,3.31
21,sur,3,OM,1578386555,62,22.57,59.53,73.54,18.9
22,changji,100,CN,1578386555,88,32.07,116.17,37.44,17.56
23,ponta do sol,73,BR,1578386555,83,-0.53,-65.05,74.75,0.78
24,kaitangata,48,NZ,1578386556,82,-46.28,169.85,51.01,7.0
25,huty,0,UA,1578386556,78,50.13,35.35,25.14,7.65
26,orlik,75,PL,1578386556,93,53.95,17.74,37.0,8.05
27,atuona,81,PF,1578386556,70,-9.8,-139.03,80.98,10.89
28,aloja,100,LV,1578386556,98,57.77,24.88,35.01,5.01
29,lagoa,0,PT,1578386557,62,37.14,-8.45,54.0,9.17
30,bilibino,0,RU,1578386557,89,68.06,166.44,-22.7,2.95
31,busselton,33,AU,1578386557,11,-33.64,115.35,86.0,18.21
32,yellowknife,5,CA,1578386558,67,62.45,-114.38,-27.0,5.82
33,samarai,87,PG,1578386558,86,-10.62,150.67,78.51,2.66
34,abu samrah,75,JP,1578386558,72,34.51,131.49,62.6,18.34
35,tombouctou,0,ML,1578386558,14,16.77,-3.01,65.21,10.65
36,pervomayskoye,86,RU,1578386558,94,57.07,86.23,15.69,7.0
37,saint-leu,75,RE,1578386559,79,-21.15,55.28,86.0,11.41
38,bongandanga,14,CD,1578386559,27,1.51,21.07,94.48,5.55
39,port alfred,90,CD,1578386559,72,-7.04,29.76,76.51,3.94
40,cidreira,61,BR,1578386559,83,-30.17,-50.22,74.64,13.31
41,muravlenko,0,RU,1578386560,89,63.79,74.5,0.32,15.32
42,leningradskiy,0,RU,1578386560,81,69.38,178.42,-10.46,14.0
43,daman,27,IN,1578386560,39,20.42,72.83,88.27,11.18
44,san patricio,27,ML,1578386560,17,13.3,-4.9,70.29,9.57
45,jamestown,20,AU,1578386560,29,-33.21,138.6,80.8,12.17
46,morros,75,BR,1578386560,100,-2.87,-44.04,75.2,4.7
47,bredasdorp,75,ZA,1578386561,68,-34.53,20.04,73.99,17.22
48,tasiilaq,99,GL,1578386561,95,65.61,-37.64,20.16,6.44
49,arraial do cabo,0,BR,1578386564,83,-22.84,-46.65,71.6,9.17
50,saldanha,63,PT,1578386565,75,41.42,-6.55,37.65,2.01
51,toamasina,40,MG,1578386565,66,-18.17,49.38,87.8,8.05
52,dikson,100,RU,1578386566,99,73.51,80.55,3.09,3.44
53,yanam,53,IN,1578386566,51,16.73,82.22,84.2,8.05
54,vaini,40,IN,1578386566,48,15.34,74.49,84.2,11.41
55,saskylakh,88,RU,1578386566,95,71.97,114.09,0.01,9.86
56,mayo,90,CA,1578386566,74,63.59,-135.9,-25.6,2.55
57,richards bay,1,US,1578386567,79,46.84,-95.91,24.8,9.17
58,ushuaia,75,AR,1578386567,62,-54.81,-68.31,55.4,18.34
59,clyde river,100,NZ,1578386567,85,-45.19,169.32,46.0,1.01
60,jonkoping,90,SE,1578386568,100,57.78,14.16,37.99,11.41
61,georgetown,67,GY,1578386458,81,6.8,-58.16,79.07,14.25
62,kodiak,1,US,1578386568,80,39.95,-94.76,35.01,11.41
63,namibe,99,AO,1578386568,80,-15.19,12.15,72.54,4.25
64,cape town,97,CL,1578386569,81,-36.41,-71.9,50.0,3.36
65,ugoofaaru,100,MV,1578386569,74,5.67,73.0,83.28,23.31
66,drinovci,0,HR,1578386569,24,43.85,16.01,46.4,2.24
67,sinnamary,77,GF,1578386569,82,5.38,-52.96,78.57,15.57
68,castro,90,CL,1578386569,87,-42.48,-73.76,53.6,10.29
69,tongliao,99,CN,1578386570,90,43.61,122.27,9.88,8.97
70,ribeira grande,90,PT,1578386570,65,41.76,-8.56,46.0,8.05
71,sao filipe,2,IN,1578386570,38,20.51,76.21,84.04,9.6
72,ukiah,1,US,1578386306,72,39.15,-123.21,44.01,3.36
73,mataura,84,NZ,1578386570,80,-46.19,168.86,52.0,8.99
74,vallenar,0,CL,1578386571,90,-28.58,-70.76,52.75,1.54
75,khatanga,100,RU,1578386571,95,71.98,102.47,4.87,8.97
76,bethel,1,US,1578386453,68,60.79,-161.76,-18.4,10.29
77,formoso do araguaia,100,BR,1578386571,96,-14.95,-46.23,68.0,5.5
78,nome,1,US,1578386572,76,30.04,-94.42,60.01,5.82
79,jarvakandi,90,EE,1578386572,93,58.78,24.83,41.0,10.29
80,jiayuguan,90,CN,1578386572,37,39.77,98.29,30.42,7.05
81,butaritari,100,KI,1578386572,78,3.07,172.79,85.01,15.84
82,dukat,0,AL,1578386573,34,40.25,19.57,50.0,0.38
83,tabou,76,CI,1578386573,58,4.42,-7.36,77.5,3.78
84,albany,90,US,1578386384,55,42.65,-73.75,33.8,3.83
85,edd,99,ER,1578386573,63,13.93,41.69,82.33,7.85
86,hermanus,100,ZA,1578386573,70,-34.42,19.24,77.0,14.0
87,sabzevar,0,IR,1578386574,43,36.21,57.68,43.38,3.69
88,fili,12,NG,1578386574,18,8.43,4.5,83.73,6.98
89,port hardy,90,CD,1578386574,72,-7.04,29.76,76.51,3.94
90,nikolskoye,90,RU,1578386574,93,59.7,30.79,35.6,8.95
91,anloga,4,GH,1578386574,69,5.79,0.9,77.0,6.93
92,codrington,0,AU,1578386574,51,-28.95,153.24,82.4,13.87
93,tiksi,100,RU,1578386575,92,71.64,128.87,-4.41,4.54
94,san andres del rabanedo,27,ML,1578386288,17,13.3,-4.9,70.29,9.57
95,gelemso,58,ET,1578386575,59,8.81,40.52,73.47,10.18
96,mercedes,0,UY,1578386575,80,-33.25,-58.03,57.99,1.99
97,esperance,0,AU,1578386576,8,-33.86,121.89,102.2,14.99
98,anderson,1,US,1578386576,86,34.51,-82.65,43.0,5.37
99,ouahigouya,67,BF,1578386576,18,13.58,-2.42,71.22,13.82
100,babaeski,81,TR,1578386344,72,41.43,27.09,34.0,18.99
101,faisalabad,100,PK,1578386576,90,31.42,73.09,52.93,4.68
102,avarua,63,CK,1578386577,94,-21.21,-159.78,77.0,2.24
103,barrow,0,AR,1578386577,72,-38.31,-60.23,53.49,7.52
104,grand centre,90,FR,1578386577,100,48.39,5.49,42.8,4.7
105,cherskiy,0,RU,1578386577,78,68.75,161.3,-18.76,6.64
106,inhambane,40,MZ,1578386304,55,-23.87,35.38,89.6,13.87
107,mys shmidta,100,RU,1578386578,93,62.06,48.62,16.39,7.92
108,east london,46,UG,1578386392,24,3.43,31.7,92.28,7.99
109,mount gambier,100,GB,1578386578,75,53.66,-1.85,48.0,20.8
110,saint-pierre,90,FR,1578386578,100,48.95,4.24,42.8,6.93
111,egvekinot,98,RU,1578386578,71,66.32,-179.17,-14.51,2.8
112,makakilo city,75,US,1578386579,69,21.35,-158.09,77.0,16.11
113,sept-iles,90,CA,1578386579,78,50.2,-66.38,8.6,10.29
114,pevek,0,RU,1578386579,68,69.7,170.27,-7.73,9.53
115,barra,82,GM,1578386579,36,13.49,-16.54,62.6,14.99
116,mumford,0,GH,1578386579,39,5.26,-0.76,85.6,2.55
117,severo-kurilsk,100,RU,1578386580,79,50.68,156.12,20.52,11.48
118,benjamin constant,0,US,1578386580,55,33.58,-99.79,34.0,4.0
119,bac lieu,0,RS,1578386580,79,45.39,19.24,27.0,2.24
120,chilca,20,PE,1578386580,87,-13.22,-72.34,42.8,4.7
121,xining,0,CN,1578386580,39,36.62,101.77,29.19,3.87
122,namie,75,JP,1578386581,100,37.52,140.86,39.99,5.82
123,constitucion,86,MX,1578386581,34,23.99,-104.67,48.74,2.3
124,musoma,1,TZ,1578386581,52,-1.5,33.81,82.6,2.86
125,polis,75,CY,1578386581,87,35.04,32.42,51.8,9.17
126,laguna,75,BZ,1578386581,100,16.17,-88.94,68.0,2.13
127,new norfolk,40,LR,1578386582,88,6.65,-10.59,71.6,4.7
128,ilulissat,100,GL,1578386582,52,69.22,-51.1,-7.6,21.92
129,gijon,67,ES,1578386582,51,43.54,-5.66,48.0,8.05
130,panalingaan,83,PH,1578386582,79,8.78,117.42,82.17,15.82
131,rundu,95,NA,1578386582,88,-17.91,19.77,69.8,9.17
132,college,20,US,1578386583,96,64.86,-147.8,-24.0,1.83
133,orel-izumrud,90,RU,1578386583,61,43.46,39.92,50.0,8.95
134,geraldton,5,CA,1578386583,84,49.72,-86.95,6.8,8.05
135,kavaratti,63,IN,1578386584,75,10.57,72.64,81.39,8.08
136,chokurdakh,0,RU,1578386584,87,70.62,147.9,-21.71,4.21
137,tevaitoa,0,PF,1578386584,80,-16.78,-151.5,81.73,18.52
138,souillac,90,FR,1578386584,100,45.6,-0.6,46.0,3.36
139,gat,74,SN,1578386584,38,14.69,-16.54,64.4,4.7
140,baykit,99,RU,1578386585,96,61.68,96.39,9.41,2.68
141,hasaki,75,JP,1578386585,87,35.73,140.83,43.0,6.93
142,victoria,75,BN,1578386463,74,5.28,115.24,84.2,4.7
143,zhezkazgan,90,KZ,1578386585,100,47.8,67.71,19.4,6.71
144,fortuna,1,US,1578386585,93,40.6,-124.16,41.0,9.17
145,pontianak,75,ID,1578386586,66,-0.02,109.34,89.6,5.82
146,lata,100,IN,1578386586,98,30.78,78.62,20.8,8.39
147,kichera,100,RU,1578386586,97,55.93,110.1,3.4,0.92
148,pacifica,1,US,1578386586,75,37.61,-122.49,50.0,3.36
149,galesburg,1,US,1578386586,86,40.95,-90.37,30.99,6.64
150,mecca,0,SA,1578386587,32,21.43,39.83,73.24,7.47
151,saint-philippe,75,CA,1578386587,79,45.36,-73.48,26.01,14.99
152,sorong,100,ID,1578386587,97,-0.86,131.25,76.21,2.98
153,marfino,90,RU,1578386587,79,56.07,37.56,30.99,11.18
154,khovu-aksy,12,RU,1578386587,80,51.13,93.72,0.77,7.45
155,plast,98,RU,1578386588,93,54.37,60.81,17.87,2.35
156,husavik,80,CA,1578386588,67,50.56,-96.99,7.0,10.0
157,high rock,1,US,1578386588,69,33.61,-95.75,42.8,5.82
158,fairbanks,20,US,1578386588,96,64.84,-147.72,-24.0,0.31
159,bambous virieux,40,MU,1578386588,79,-20.26,57.41,86.0,5.82
160,abu kamal,75,JP,1578386589,72,34.51,131.49,62.6,18.34
161,carnarvon,61,ZA,1578386589,26,-30.97,22.13,86.85,18.39
162,puerto ayora,72,AR,1578386589,76,-51.62,-69.23,51.8,1.12
163,sao joao da barra,2,IN,1578386589,38,20.51,76.21,84.04,9.6
164,nizhniy baskunchak,75,RU,1578386590,86,45.39,39.24,36.0,4.47
165,namatanai,100,PG,1578386590,72,-3.66,152.44,85.64,7.02
166,kawhia,0,NZ,1578386590,78,-38.07,174.82,59.0,5.99
167,mogadishu,40,SO,1578386501,66,2.04,45.34,86.0,19.46
168,alta floresta,100,NO,1578386591,94,69.97,23.27,32.0,24.16
169,faanui,3,PF,1578386591,81,-16.48,-151.75,80.87,17.34
170,iqaluit,20,CA,1578386329,59,63.75,-68.52,-34.01,4.7
171,palana,0,RU,1578386591,78,59.08,159.95,3.88,3.91
172,vardo,1,US,1578386592,73,39.62,-77.74,35.6,1.81
173,kochubey,100,RU,1578386592,67,44.39,46.54,46.02,16.98
174,hithadhoo,100,MV,1578386592,76,-0.6,73.08,84.13,17.02
175,grand-santi,22,GF,1578386592,99,4.27,-54.38,67.48,1.32
176,novo aripuana,40,CU,1578386592,100,22.78,-82.23,55.4,1.83
177,nizhniy odes,75,RU,1578386590,86,45.39,39.24,36.0,4.47
178,kenai,1,US,1578386593,82,60.55,-151.26,-6.0,4.7
179,gamba,68,CN,1578386593,26,28.28,88.52,25.56,10.11
180,praya,75,ID,1578386593,78,-8.71,116.27,82.4,10.29
181,keti bandar,90,AM,1578386594,74,40.87,43.84,28.4,9.84
182,katsuura,75,JP,1578386594,76,33.93,134.5,55.4,6.93
183,issaquah,90,US,1578386594,93,47.53,-122.04,51.01,5.82
184,port augusta,90,CD,1578386574,72,-7.04,29.76,76.51,3.94
185,torbay,90,CA,1578386595,92,47.66,-52.73,26.01,2.24
186,ola,0,RU,1578386595,75,59.58,151.3,1.15,6.42
187,birin,67,NP,1578386595,89,26.89,88.07,44.71,5.37
188,meulaboh,74,ID,1578386595,73,4.14,96.13,83.77,11.01
189,morehead,90,US,1578386595,51,38.18,-83.43,37.4,4.7
190,najran,0,SA,1578386596,49,17.54,44.22,68.0,4.7
191,balkanabat,0,TM,1578386596,54,39.51,54.36,45.97,10.02
192,omboue,88,GA,1578386596,67,-1.57,9.26,86.27,3.18
193,upernavik,100,GL,1578386596,90,72.79,-56.15,-9.6,5.17
194,danjiangkou,2,CN,1578386597,57,32.54,111.51,41.0,6.38
195,arona,20,IT,1578386597,100,45.76,8.56,37.0,1.12
196,sweetwater,1,US,1578386597,37,32.47,-100.41,37.4,8.19
197,macusani,22,PE,1578386598,81,-14.07,-70.43,33.06,5.77
198,mount isa,100,GB,1578386598,75,53.66,-1.85,48.0,20.8
199,grong,75,NO,1578386598,80,64.47,12.32,43.0,6.93
200,axim,0,GH,1578386598,44,4.87,-2.24,84.97,3.22
201,lorengau,100,PG,1578386599,73,-2.02,147.27,84.9,8.1
202,kuala terengganu,40,ID,1578386599,74,3.38,98.62,86.0,10.29
203,nikolsk,100,RU,1578386599,92,59.53,45.45,21.06,7.78
204,flinders,100,AU,1578386599,78,-34.58,150.85,78.01,10.29
205,akcaabat,75,TR,1578386600,71,41.02,39.57,53.6,3.36
206,hai phong,40,LA,1578386600,43,18.17,103.06,89.6,4.7
207,wairoa,91,NZ,1578386600,61,-39.04,177.43,61.0,11.99
208,udachnyy,90,RU,1578386600,92,66.42,112.4,12.2,2.24
209,shingu,75,JP,1578386600,81,33.72,135.99,53.6,2.24
210,luganville,100,VU,1578386601,95,-15.51,167.18,75.07,1.95
211,san quintin,27,ML,1578386601,17,13.3,-4.9,70.29,9.57
212,sabang,60,PH,1578386601,92,13.8,121.11,75.99,4.0
213,buala,100,SB,1578386601,80,-8.15,159.59,81.73,8.16
214,port macquarie,90,CD,1578386601,72,-7.04,29.76,76.51,3.94
215,nagornskiy,2,RU,1578386602,77,58.77,57.55,8.01,3.09
216,glendive,90,US,1578386602,80,47.11,-104.71,34.0,8.05
217,sun valley,0,YE,1578386602,38,16.72,44.81,72.73,7.43
218,tanabe,75,JP,1578386602,81,33.73,135.39,53.6,2.24
219,praia,0,BR,1578386603,94,-20.25,-43.81,64.89,2.35
220,otjiwarongo,96,NA,1578386603,73,-20.46,16.65,71.6,1.12
221,vaasa,90,FI,1578386603,86,63.1,21.62,41.0,16.11
222,evanston,1,US,1578386603,73,42.04,-87.69,32.0,10.8
223,okakarara,99,NA,1578386604,54,-20.59,17.46,77.72,4.7
224,cayenne,20,GF,1578386604,94,4.94,-52.33,73.4,3.36
225,bonavista,98,CA,1578386604,84,48.65,-53.11,23.16,4.05
226,isla mujeres,1,MX,1578386604,75,18.03,-95.53,66.99,8.01
227,lerwick,40,GB,1578386605,87,60.15,-1.15,44.6,31.09
228,palmares do sul,100,BR,1578386565,80,-8.68,-35.59,73.72,5.26
229,mwinilunga,100,ZM,1578386605,94,-11.73,24.43,64.26,4.05
230,rio gallegos,1,US,1578386578,86,41.11,-90.4,30.99,6.64
231,havelock,1,US,1578386567,86,34.88,-76.9,37.99,1.9
232,shelburne,1,CA,1578386606,85,44.08,-80.2,28.0,8.57
233,ixtapa,75,MX,1578386606,77,20.71,-105.21,68.0,4.9
234,longyearbyen,40,NO,1578386606,72,78.22,15.63,14.0,29.97
235,hojai,1,IN,1578386607,64,26.0,92.85,68.76,0.18
236,igarka,66,RU,1578386607,96,67.47,86.57,-2.99,8.1
237,uarini,89,BR,1578386607,92,-2.98,-65.16,74.82,0.58
238,clarence town,20,US,1578386607,83,42.98,-78.59,33.01,9.17
239,thompson,75,CA,1578386608,83,55.74,-97.86,-9.4,10.29
240,hakkari,75,FI,1578386589,93,61.34,23.75,39.2,10.29
241,bol,0,TD,1578386608,26,13.47,14.72,74.64,17.9
242,ipixuna,40,BR,1578386608,94,-1.76,-48.8,73.4,4.7
243,batagay,100,RU,1578386609,94,67.65,134.64,-10.79,1.5
244,hazleton,1,US,1578386609,86,40.96,-75.99,35.6,4.7
245,portland,90,US,1578386477,85,43.66,-70.25,28.0,22.59
246,sunbury,75,AU,1578386609,82,-37.58,144.73,68.0,12.75
247,susanville,1,US,1578386609,79,40.42,-120.65,28.4,3.36
248,grand gaube,90,FR,1578386610,100,48.39,5.49,42.8,4.7
249,noyabrsk,0,RU,1578386610,90,63.2,75.45,0.9,11.83
250,maniitsoq,100,GL,1578386610,99,65.42,-52.9,1.56,26.89
251,myaundzha,0,RU,1578386610,99,63.05,147.18,-27.98,1.92
252,sola,0,TZ,1578386611,54,-3.17,33.8,79.92,10.22
253,grand river south east,90,FR,1578386611,100,48.39,5.49,42.8,4.7
254,ariquemes,100,BR,1578386611,98,-9.91,-63.03,73.67,0.63
255,lakefield,90,CA,1578386611,68,44.42,-78.27,32.0,9.17
256,port elizabeth,90,CD,1578386574,72,-7.04,29.76,76.51,3.94
257,nkhotakota,100,MW,1578386612,68,-12.93,34.3,80.37,5.93
258,vestmannaeyjar,90,IS,1578386613,86,63.44,-20.27,41.0,24.16
259,stellenbosch,100,ZA,1578386488,53,-33.93,18.87,77.0,3.36
260,espinosa,100,BR,1578386613,98,-14.92,-42.81,66.99,3.22
261,fukue,75,JP,1578386613,93,35.03,136.69,44.01,10.29
262,ouango,16,CD,1578386614,17,4.31,22.55,92.93,6.04
263,motygino,95,RU,1578386614,96,58.18,94.69,17.6,3.6
264,pimentel,100,BR,1578386614,98,-3.7,-45.5,72.75,2.93
265,kungurtug,0,RU,1578386614,88,50.6,97.53,4.03,0.87
266,odder,100,DK,1578386614,100,55.98,10.15,44.6,5.82
267,roald,20,NO,1578386615,70,62.58,6.12,46.0,17.22
268,maun,40,BW,1578386615,65,-19.99,23.42,80.6,9.17
269,chuy,0,UY,1578386615,66,-33.69,-53.46,62.29,6.98
270,klaksvik,100,FO,1578386615,93,62.23,-6.59,48.2,25.28
271,hamilton,75,CA,1578386460,79,43.26,-79.87,32.0,6.93
272,ancud,90,CL,1578386616,87,-41.87,-73.83,53.6,10.29
273,rovaniemi,75,FI,1578386616,93,66.5,25.72,32.0,16.11
274,anadyr,0,RU,1578386616,74,64.73,177.51,-23.01,6.71
275,mar del plata,61,CN,1578386616,20,29.86,90.73,25.97,19.28
276,sinop,75,TR,1578386616,87,42.03,35.15,51.8,5.82
277,komsomolskiy,100,RU,1578386617,93,67.55,63.78,7.18,17.02
